,Date,Long,Lat
0,2020-08-16 18:00:00,-25.4,10.9
1,2020-08-16 18:10:00,-25.447964310085794,10.894268635959959
2,2020-08-16 18:20:00,-25.495928725790392,10.888539875085439
3,2020-08-16 18:30:00,-25.543893352732614,10.882816320541965
4,2020-08-16 18:40:00,-25.591858296531257,10.877100575495058
5,2020-08-16 18:50:00,-25.639823662805135,10.871395243110243
6,2020-08-16 19:00:00,-25.687789557173048,10.86570292655304
7,2020-08-16 19:10:00,-25.73575608525382,10.860026228988973
8,2020-08-16 19:20:00,-25.783723352666247,10.854367753583563
9,2020-08-16 19:30:00,-25.831691465029134,10.848730103502335
10,2020-08-16 19:40:00,-25.879660527961303,10.843115881910812
11,2020-08-16 19:50:00,-25.927630647081546,10.837527691974515
12,2020-08-16 20:00:00,-25.97560192800869,10.831968136858965
13,2020-08-16 20:10:00,-26.023574476361524,10.826439819729687
14,2020-08-16 20:20:00,-26.07154839775887,10.820945343752205
15,2020-08-16 20:30:00,-26.119523797819536,10.81548731209204
16,2020-08-16 20:40:00,-26.167500782162318,10.810068327914712
17,2020-08-16 20:50:00,-26.215479456406037,10.804690994385748
18,2020-08-16 21:00:00,-26.263459926169496,10.799357914670669
19,2020-08-16 21:10:00,-26.3114422970715,10.794071691934993
20,2020-08-16 21:20:00,-26.359426674730866,10.788834929344251
21,2020-08-16 21:30:00,-26.407413164766396,10.783650230063962
22,2020-08-16 21:40:00,-26.4554018727969,10.778520197259645
23,2020-08-16 21:50:00,-26.50339290444118,10.773447434096829
24,2020-08-16 22:00:00,-26.55138636531806,10.768434543741032
25,2020-08-16 22:10:00,-26.59938236104633,10.76348412935778
26,2020-08-16 22:20:00,-26.64738099724481,10.75859879411259
27,2020-08-16 22:30:00,-26.695382379532305,10.753781141170991
28,2020-08-16 22:40:00,-26.743386613527623,10.749033773698503
29,2020-08-16 22:50:00,-26.791393804849573,10.744359294860647
30,2020-08-16 23:00:00,-26.83940405911696,10.739760307822948
31,2020-08-16 23:10:00,-26.887417481948596,10.735239415750929
32,2020-08-16 23:20:00,-26.935434178963288,10.730799221810111
33,2020-08-16 23:30:00,-26.983454255779847,10.726442329166016
34,2020-08-16 23:40:00,-27.031477818017073,10.722171340984168
35,2020-08-16 23:50:00,-27.079504971293787,10.71798886043009
36,2020-08-17 00:00:00,-27.12753582122879,10.713897490669302
37,2020-08-17 00:10:00,-27.175570473440885,10.70989983486733
38,2020-08-17 00:20:00,-27.22360903354889,10.705998496189697
39,2020-08-17 00:30:00,-27.271651607171606,10.702196077801922
40,2020-08-17 00:40:00,-27.319698301411712,10.698495114131026
41,2020-08-17 00:50:00,-27.367749277798442,10.694895618352266
42,2020-08-17 01:00:00,-27.415804766733547,10.691394413195473
43,2020-08-17 01:10:00,-27.463865003042123,10.68798811648396
44,2020-08-17 01:20:00,-27.51193022154928,10.684673346041025
45,2020-08-17 01:30:00,-27.560000657080103,10.681446719689989
46,2020-08-17 01:40:00,-27.60807654445969,10.678304855254154
47,2020-08-17 01:50:00,-27.65615811851314,10.675244370556834
48,2020-08-17 02:00:00,-27.704245614065556,10.672261883421339
49,2020-08-17 02:10:00,-27.75233926594202,10.669354011670974
50,2020-08-17 02:20:00,-27.800439308967643,10.666517373129054
51,2020-08-17 02:30:00,-27.84854597796752,10.663748585618883
52,2020-08-17 02:40:00,-27.896659507766742,10.661044266963776
53,2020-08-17 02:50:00,-27.94478013319041,10.658401034987037
54,2020-08-17 03:00:00,-27.99290808906362,10.655815507511983
55,2020-08-17 03:10:00,-28.041043610211464,10.653284302361916
56,2020-08-17 03:20:00,-28.089186931459054,10.65080403736015
57,2020-08-17 03:30:00,-28.137338287631472,10.648371330329994
58,2020-08-17 03:40:00,-28.185497913553814,10.645982799094755
59,2020-08-17 03:50:00,-28.23366604405119,10.643635061477745
60,2020-08-17 04:00:00,-28.281842913948694,10.641324735302273
61,2020-08-17 04:10:00,-28.330028758071414,10.639048438391649
62,2020-08-17 04:20:00,-28.378223811244453,10.636802788569183
63,2020-08-17 04:30:00,-28.42642830829291,10.634584403658183
64,2020-08-17 04:40:00,-28.474642484041873,10.632389901481957
65,2020-08-17 04:50:00,-28.52286657331645,10.63021589986382
66,2020-08-17 05:00:00,-28.57110081094173,10.628059016627075
67,2020-08-17 05:10:00,-28.619345431742815,10.625915869595039
68,2020-08-17 05:20:00,-28.6676006705448,10.623783076591018
69,2020-08-17 05:30:00,-28.715866762172784,10.621657255438317
70,2020-08-17 05:40:00,-28.76414394145186,10.61953502396025
71,2020-08-17 05:50:00,-28.812432443207133,10.617412999980129
72,2020-08-17 06:00:00,-28.860732502263687,10.61528780132126
73,2020-08-17 06:10:00,-28.909044353446628,10.613156045806953
74,2020-08-17 06:20:00,-28.957368231581054,10.611014351260517
75,2020-08-17 06:30:00,-29.005704371492055,10.608859335505265
76,2020-08-17 06:40:00,-29.054053008004736,10.606687616364502
77,2020-08-17 06:50:00,-29.102414375944193,10.60449581166154
78,2020-08-17 07:00:00,-29.15078871013552,10.602280539219688
79,2020-08-17 07:10:00,-29.199176245403805,10.600038416862256
80,2020-08-17 07:20:00,-29.24757693310306,10.597768346129289
81,2020-08-17 07:30:00,-29.295989531286725,10.59547884209946
82,2020-08-17 07:40:00,-29.344412484058928,10.593180949108687
83,2020-08-17 07:50:00,-29.39284423552232,10.590885711504745
84,2020-08-17 08:00:00,-29.44128322977954,10.588604173635414
85,2020-08-17 08:10:00,-29.489727910933254,10.586347379848467
86,2020-08-17 08:20:00,-29.538176723086103,10.584126374491682
