,Date,Long,Lat
0,2019-08-22 12:00:00,-35.9,9.5
1,2019-08-22 12:10:00,-35.93434424757131,9.500114333206728
2,2019-08-22 12:20:00,-35.968688492543144,9.50022825334807
3,2019-08-22 12:30:00,-36.003032732316015,9.50034134735864
4,2019-08-22 12:40:00,-36.037376964290445,9.500453202173047
5,2019-08-22 12:50:00,-36.071721185866956,9.500563404725908
6,2019-08-22 13:00:00,-36.10606539444607,9.500671541951833
7,2019-08-22 13:10:00,-36.1404095874283,9.500777200785437
8,2019-08-22 13:20:00,-36.17475376221417,9.500879968161337
9,2019-08-22 13:30:00,-36.20909791620421,9.500979431014139
10,2019-08-22 13:40:00,-36.24344204679892,9.50107517627846
11,2019-08-22 13:50:00,-36.277786151398836,9.501166790888913
12,2019-08-22 14:00:00,-36.31213022740447,9.501253861780109
13,2019-08-22 14:10:00,-36.346474272216334,9.501335975886667
14,2019-08-22 14:20:00,-36.380818283234966,9.501412720143193
15,2019-08-22 14:30:00,-36.41516225786088,9.501483681484304
16,2019-08-22 14:40:00,-36.44950619349459,9.50154844684461
17,2019-08-22 14:50:00,-36.483850087536624,9.501606603158729
18,2019-08-22 15:00:00,-36.518193937387494,9.501657737361274
19,2019-08-22 15:10:00,-36.552537740447725,9.501701436386853
20,2019-08-22 15:20:00,-36.58688149411783,9.501737287170084
21,2019-08-22 15:30:00,-36.621225195798345,9.501764876645575
22,2019-08-22 15:40:00,-36.65556884288978,9.501783791747945
23,2019-08-22 15:50:00,-36.68991243279265,9.501793619411805
24,2019-08-22 16:00:00,-36.724255962907485,9.501793946571766
25,2019-08-22 16:10:00,-36.7585994306348,9.501784360162443
26,2019-08-22 16:20:00,-36.792942833375115,9.50176444711845
27,2019-08-22 16:30:00,-36.82728616852894,9.5017337943744
28,2019-08-22 16:40:00,-36.861629433496816,9.501691988864904
29,2019-08-22 16:50:00,-36.89597262567924,9.501638617524577
30,2019-08-22 17:00:00,-36.93031574247676,9.501573267288032
31,2019-08-22 17:10:00,-36.96465878128987,9.501495525089881
32,2019-08-22 17:20:00,-36.9990017395191,9.50140497786474
33,2019-08-22 17:30:00,-37.033344614564975,9.501301212547219
34,2019-08-22 17:40:00,-37.067687403828,9.501183816071931
35,2019-08-22 17:50:00,-37.10203010470872,9.501052375373492
36,2019-08-22 18:00:00,-37.136372714607624,9.500906477386513
37,2019-08-22 18:10:00,-37.17071523092526,9.50074570904561
38,2019-08-22 18:20:00,-37.20505765106213,9.500569657285391
39,2019-08-22 18:30:00,-37.23939997241876,9.500377909040473
40,2019-08-22 18:40:00,-37.27374219239567,9.500170051245469
41,2019-08-22 18:50:00,-37.30808430842067,9.49994567517003
42,2019-08-22 19:00:00,-37.34242632175554,9.499704981317631
43,2019-08-22 19:10:00,-37.37676824141371,9.499449401947182
44,2019-08-22 19:20:00,-37.41111007734333,9.499180517855635
45,2019-08-22 19:30:00,-37.44545183949263,9.49889990983993
46,2019-08-22 19:40:00,-37.47979353780975,9.49860915869702
47,2019-08-22 19:50:00,-37.5141351822429,9.498309845223853
48,2019-08-22 20:00:00,-37.54847678274025,9.498003550217371
49,2019-08-22 20:10:00,-37.582818349250005,9.497691854474528
50,2019-08-22 20:20:00,-37.61715989172031,9.497376338792266
51,2019-08-22 20:30:00,-37.651501420099386,9.49705858396754
52,2019-08-22 20:40:00,-37.68584294433539,9.49674017079729
53,2019-08-22 20:50:00,-37.72018447437652,9.496422680078467
54,2019-08-22 21:00:00,-37.75452602017095,9.496107692608017
55,2019-08-22 21:10:00,-37.78886759166686,9.495796789182888
56,2019-08-22 21:20:00,-37.82320919881244,9.49549155060003
57,2019-08-22 21:30:00,-37.85755085155587,9.495193557656389
58,2019-08-22 21:40:00,-37.89189255984534,9.494904391148912
59,2019-08-22 21:50:00,-37.92623433362902,9.494625631874545
60,2019-08-22 22:00:00,-37.960576182855114,9.494358860630237
61,2019-08-22 22:10:00,-37.994918117471784,9.49410565821294
62,2019-08-22 22:20:00,-38.02926014742722,9.493867605419593
63,2019-08-22 22:30:00,-38.063602282669606,9.49364628304715
64,2019-08-22 22:40:00,-38.09794453314713,9.493443271892556
65,2019-08-22 22:50:00,-38.132286908807956,9.49326015275276
66,2019-08-22 23:00:00,-38.166629419600284,9.493098506424706
67,2019-08-22 23:10:00,-38.2009720754723,9.492959913705343
68,2019-08-22 23:20:00,-38.23531488637218,9.492845955391626
69,2019-08-22 23:30:00,-38.26965786224811,9.492758212280492
70,2019-08-22 23:40:00,-38.304001013048264,9.492698265168892
71,2019-08-22 23:50:00,-38.33834434872083,9.492667694853777
72,2019-08-23 00:00:00,-38.37268787921399,9.49266808213209
73,2019-08-23 00:10:00,-38.40703161447594,9.49270100780078
74,2019-08-23 00:20:00,-38.441375564454844,9.492768052656798
75,2019-08-23 00:30:00,-38.4757197390989,9.492870797497085
76,2019-08-23 00:40:00,-38.51006414835627,9.493010823118594
77,2019-08-23 00:50:00,-38.54440880217517,9.49318971031827
78,2019-08-23 01:00:00,-38.578753710503754,9.493409039893061
79,2019-08-23 01:10:00,-38.61309888329022,9.493670392639917
80,2019-08-23 01:20:00,-38.64744433048274,9.49397534935578
81,2019-08-23 01:30:00,-38.681790062029506,9.494325490837603
82,2019-08-23 01:40:00,-38.7161360878787,9.494722397882331
83,2019-08-23 01:50:00,-38.750482417978496,9.495167651286913
84,2019-08-23 02:00:00,-38.7848290622771,9.495662831848295
85,2019-08-23 02:10:00,-38.81917603072266,9.49620952036342
86,2019-08-23 02:20:00,-38.85352333326339,9.496809297629246
